ArtNomGroupe;ArtManDate;ArtManDateEnd
Akkordeon Orchester Frohe Klänge e.V.;31.8.2025 11:00:00;31/08/25 12:00
Al Graf & Friends;20.6.2025 20:00:00;20/06/25 22:00
Bartrenger Musek;20.5.2025 19:30:00;20/05/25 20:30
BIG BAND Dag Place d'armes;13.7.2025 13:30:00;13/07/25 21:50
Big Band de la Musique militaire;23.5.2025 20:00:00;23/05/25 21:00
Big Band Memory 2.0;30.5.2025 19:00:00;30/05/25 20:00
Big Band Opus 78;16.5.2025 20:00:00;16/05/25 21:30
Brass'I Cool;30.8.2025 11:00:00;30/08/25 12:00
Caecilia Wind Orchestra;17.8.2025 11:00:00;17/08/25 12:00
CARPE DIEM and Friends;3.9.2025 19:00:00;03/09/25 20:00
Cercle des Mondolinistes de Kayl;29.4.2025 19:30:00;29/04/25 20:30
Die Böhmerischen;16.8.2025 11:00:00;16/08/25 12:00
Dixie Band de la Musique Militaire;6.6.2025 20:00:00;06/06/25 21:00
Douane  Musek;27.6.2025 20:00:00;27/06/25 21:00
Douane s Musek mat der Garnisiouns Musek;21.5.2025 19:00:00;21/05/25 20:00
Ecole de danse Mireille Roulling;18.7.2025 20:00:00;18/07/25 21:00
Eecher Musek;18.6.2025 20:00:00;18/06/25 21:00
ENSEMBLE BELARUS;6.8.2025 19:00:00;06/08/25 20:00
FANFARE GRAND-DUCALE DE CLAUSEN;21.7.2025 19:30:00;21/07/25 20:30
FANFARE MEDERNACH;18.5.2025 11:00:00;18/05/25 12:00
Fanfare Municipale Neudorf Weimershof;8.6.2025 11:00:00;08/06/25 12:00
Fanfare Municpale Luxembourg Bonnevoie;4.7.2025 20:00:00;04/07/25 21:00
Fanfare Prince Henri Bonnevoie;4.7.2025 19:00:00;04/07/25 20:00
Fanfare Royale Grand Ducale Fanfare Royale Grand Ducale Luxembourg Grund-Fetschenhof Cents;2.7.2025 20:00:00;02/07/25 21:00
Fanfare royale Ste-Cécile Assesse;15.8.2025 19:00:00;15/08/25 20:00
Fanfare Stroossen;14.5.2025 19:00:00;14/05/25 20:00
Foulschter Musik;24.6.2025 19:00:00;24/06/25 20:00
Garnecher Musek;11.5.2025 11:00:00;11/05/25 12:00
Grand Orchestre Musique Militaire;25.6.2025 20:00:00;25/06/25 21:00
Grand Orchestre Musique Militaire;6.7.2025 11:00:00;06/07/25 12:00
Grand Orchestre Musique Militaire;18.7.2025 20:30:00;18/07/25 22:00
Grand Orchestre Musique Militaire;5.9.2025 20:00:00;05/09/25 21:00
Groupe Folklorique Les Soleils Boulonnais;20.4.2025 15:00:00;20/04/25 16:00
Harmonie des Jeunes Prince Guillaume;2.7.2025 19:00:00;02/07/25 20:00
Harmonie Dudelange;10.6.2025 19:30:00;10/06/25 20:30
Harmonie Gemeng Mamer;8.7.2025 19:30:00;08/07/25 20:30
HARMONIE GR D ORANIA Colmer Bierg;3.6.2025 19:00:00;03/06/25 20:00
Harmonie Mondercange;28.5.2025 19:00:00;28/05/25 20:00
Harmonie Municipale Differdange;14.7.2025 20:00:00;14/07/25 21:00
Harmonie Municipale Hollerich, Luxembourg Gare  Cessange;9.7.2025 20:00:00;09/07/25 21:30
Harmonie Rollingergrund;16.7.2025 19:00:00;16/07/25 20:00
Harmonie Royale La Stabuloise;20.7.2025 11:00:00;20/07/25 12:00
Harmonie Royale Saint Joseph de Vance;7.9.2025 11:00:00;07/09/25 12:00
KOLLEISCH MUSEK;16.5.2025 16:00:00;16/05/25 17:00
Lampertsbierger Musek;12.7.2025 11:00:00;12/07/25 12:00
Leidelenger Musek;17.6.2025 19:30:00;17/06/25 20:30
Märeler Big Band;11.7.2025 20:00:00;11/07/25 21:00
MELDRUM ACADEMY Scottish Youth Band Scotland;29.6.2025 18:00:00;29/06/25 19:00
Musek Keespelt Meespelt;17.5.2025 11:00:00;17/05/25 12:00
Museksfrënn Gemeng Noumer;13.5.2025 19:00:00;13/05/25 20:00
Musik Gemeng Bauschelt;29.7.2025 19:00:00;29/07/25 20:00
Musik Gemeng Ell;12.8.2025 19:00:00;12/08/25 20:00
Musik Gilsdref;29.6.2025 11:00:00;29/06/25 12:00
Musiksensemble Divertimento;7.5.2025 19:00:00;07/05/25 20:00
Musikverein Harmonie Bollendorf;24.8.2025 11:00:00;24/08/25 12:00
Musikverein Rötenbach e.V.;5.9.2025 16:00:00;05/09/25 17:00
OGBL BIG BAND;25.7.2025 19:00:00;25/07/25 20:00
OPUS AR Big Band;2.5.2025 19:00:00;02/05/25 20:00
Philharmonie Préizerdaul;6.5.2025 20:00:00;06/05/25 21:00
PIAZZA BAND;23.7.2025 19:00:00;23/07/25 20:00
Pompjees Musik Bettenduerf;26.7.2025 11:00:00;26/07/25 12:00
Réidener Musek;4.6.2025 19:30:00;04/06/25 20:30
Rittersberg Big Band;29.8.2025 19:00:00;29/08/25 20:00
Schetter Musek;27.5.2025 19:00:00;27/05/25 20:00
Schulorchester der Realschulen Kaufering, Landsberg, Schongau;30.4.2025 19:00:00;30/04/25 20:00
Schweecherdauler Musek;1.6.2025 11:00:00;01/06/25 12:00
Seller Musek;25.5.2025 11:00:00;25/05/25 12:00
Simmer Duerfmusek;11.6.2025 20:00:00;11/06/25 21:00
SON TRIOMANGO;12.7.2025 20:00:00;12/07/25 22:00
Spuerkees Bankers in Concert;9.5.2025 20:00:00;09/05/25 21:00
The Mighty Big Band;22.8.2025 19:00:00;22/08/25 20:00
The Nothern Big Band;8.8.2025 19:00:00;08/08/25 20:00
Tramsmusek;21.6.2025 11:00:00;21/06/25 12:00
Trentenger Musek;15.7.2025 19:00:00;15/07/25 20:00
Trierisch Böhmische Blasmusik;10.8.2025 11:00:00;10/08/25 12:00
Walfer Musek;1.7.2025 20:00:00;01/07/25 21:00
Welleschter Musek;3.8.2025 11:00:00;03/08/25 12:00
